"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration","Force"
0.00,-0.64,-0.11,1.86,0.019
0.01,-0.26,-0.11,0.12,-0.001
0.02,0.65,0.19,-1.16,0.004
0.03,1.10,2.08,-0.25,-0.001
0.04,-0.49,-0.49,-2.37,-0.001
0.05,0.65,0.42,-3.57,-0.007
0.06,-1.62,-1.10,1.25,0.004
0.07,-0.34,-1.40,3.97,-0.001
0.08,0.35,-0.64,0.05,-0.007
0.09,-0.11,-0.11,-2.67,0.004
0.10,1.63,0.57,-0.48,-0.012
0.11,-0.49,2.61,2.99,-0.001
0.12,0.19,0.11,-0.41,0.004
0.13,-0.64,2.08,0.65,-0.007
0.14,-0.56,-0.04,-1.54,-0.007
0.15,2.47,2.53,0.80,-0.017
0.16,-0.03,1.02,0.50,-0.007
0.17,2.01,1.10,2.23,-0.007
0.18,-0.26,1.47,-2.52,0.009
0.19,-0.56,2.91,-1.46,-0.001
0.20,2.16,0.49,2.23,-0.007
0.21,-0.34,2.84,3.89,-0.001
0.22,2.24,-1.25,-5.68,-0.017
0.23,-0.49,2.53,0.05,0.014
0.24,-0.71,0.79,-1.23,0.025
0.25,-0.03,2.16,-3.04,0.004
0.26,-1.17,-0.34,-3.04,-0.001
0.27,1.86,1.78,-1.76,-0.007
0.28,1.03,1.17,3.82,-0.007
0.29,1.94,-0.49,-0.56,0.004
0.30,2.77,1.63,1.56,-0.017
0.31,-0.41,1.25,-2.52,0.014
0.32,2.47,1.93,1.33,-0.028
0.33,-0.26,2.46,-1.84,0.004
0.34,0.80,1.55,-1.01,-0.012
0.35,-1.17,1.32,-1.84,0.009
0.36,0.57,-1.40,-0.25,-0.001
0.37,0.19,3.36,1.03,-0.001
0.38,0.12,2.08,-0.71,0.004
0.39,1.56,2.68,-0.18,-0.001
0.40,-0.03,0.72,-1.46,-0.017
0.41,0.27,-0.26,-1.84,0.004
0.42,-0.03,1.85,0.88,-0.001
0.43,0.19,1.78,1.63,-0.007
0.44,1.56,0.87,0.80,-0.012
0.45,-0.49,-0.72,0.88,0.004
0.46,0.65,-2.38,-2.06,-0.012
0.47,0.57,-1.25,-0.41,-0.007
0.48,-0.03,0.11,2.61,0.014
0.49,2.31,2.91,3.14,-0.012
0.50,0.50,-1.17,-0.78,-0.012
0.51,1.41,-0.19,-0.18,-0.022
0.52,0.72,-1.78,-1.84,-0.001
0.53,-0.56,2.00,2.31,0.004
0.54,-1.47,2.38,-0.10,-0.001
0.55,-1.09,-2.31,0.65,0.014
0.56,-1.40,-3.06,-0.56,0.014
0.57,1.94,-5.63,1.56,-0.017
0.58,2.01,3.29,2.08,-0.007
0.59,1.86,0.49,3.06,-0.012
0.60,0.80,1.93,3.44,-0.012
0.61,1.41,-5.10,-3.27,-0.007
0.62,-1.09,-2.23,-5.76,0.004
0.63,0.27,-1.25,0.05,-0.001
0.64,0.27,1.17,5.93,-0.007
0.65,0.12,-0.42,-3.27,-0.001
0.66,2.01,-1.55,2.84,-0.012
0.67,-1.17,-0.42,-2.67,0.019
0.68,2.31,1.47,2.61,-0.001
0.69,-1.09,-0.49,-2.67,-0.001
0.70,-2.99,-0.87,1.86,0.030
0.71,1.56,-2.84,1.40,-0.007
0.72,-1.85,-1.25,1.56,0.014
0.73,1.78,-0.19,-0.56,-0.017
0.74,-1.40,-2.23,-2.22,-0.001
0.75,-0.26,0.49,-0.03,-0.017
0.76,-0.11,-1.10,-0.56,0.014
0.77,0.19,-0.19,-0.03,-0.001
0.78,0.88,0.49,-0.71,-0.001
0.79,-0.56,-1.70,-0.18,-0.001
0.80,2.47,0.72,-0.48,-0.012
0.81,1.10,-0.64,-2.22,-0.001
0.82,-0.41,1.25,-0.33,0.004
0.83,1.41,-0.04,-0.10,-0.022
0.84,0.19,0.11,1.25,-0.007
0.85,1.94,-0.79,-0.03,-0.012
0.86,-0.79,-1.02,-3.35,0.004
0.87,1.78,1.10,2.61,0.004
0.88,-0.11,-0.11,-1.84,-0.001
0.89,-0.03,0.57,0.12,0.004
0.90,0.57,-1.78,-3.95,-0.012
0.91,-1.55,-1.32,3.21,0.009
0.92,0.88,-1.63,-0.41,-0.001
0.93,0.04,-4.05,-4.93,-0.017
0.94,-0.64,4.12,4.35,0.014
0.95,0.80,0.11,-1.16,-0.007
0.96,-1.70,1.10,-5.23,0.009
0.97,-0.18,0.34,1.48,-0.001
0.98,-0.41,-1.70,1.33,-0.001
0.99,-0.11,0.11,0.95,-0.001
1.00,0.88,-0.79,-3.12,-0.022
1.01,-0.87,-0.49,1.71,0.014
1.02,0.95,1.17,0.88,-0.001
1.03,-0.64,0.95,0.27,0.009
1.04,0.19,-0.72,0.73,-0.001
1.05,0.95,-1.02,-1.39,-0.001
1.06,0.19,-1.17,0.42,-0.001
1.07,1.18,2.91,-0.48,-0.012
1.08,0.42,0.19,1.63,-0.001
1.09,-0.26,-0.26,1.63,0.009
1.10,0.35,-1.93,-1.99,-0.001
1.11,-0.18,-2.16,-0.48,-0.001
1.12,-0.34,0.64,4.95,-0.007
1.13,2.31,-0.19,-1.91,-0.017
