Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Force,Pressure
0.00,-0.50,0.51,0.82,-0.002,37
0.01,-0.05,3.45,1.80,-0.008,37
0.02,0.41,-0.70,-4.01,-0.008,37
0.03,0.26,-0.10,3.53,-0.002,37
0.04,0.71,-0.48,2.78,-0.008,37
0.05,0.86,-1.31,-1.15,-0.018,37
0.06,0.26,1.19,0.89,-0.013,37
0.07,0.33,0.20,-1.67,-0.002,37
0.08,0.18,-1.76,-1.07,0.003,37
0.09,-0.73,2.17,2.70,-0.002,37
0.10,0.03,0.20,-4.09,-0.013,37
0.11,0.94,0.81,2.40,-0.018,37
0.12,0.71,0.13,2.47,-0.018,37
0.13,-0.35,-0.40,0.51,0.003,37
0.14,-1.26,3.23,-1.15,0.003,37
0.15,0.86,-0.40,1.80,-0.002,37
0.16,0.03,2.40,4.96,-0.013,37
0.17,0.41,0.20,-5.82,0.003,37
0.18,1.47,2.85,2.78,-0.002,37
0.19,1.09,-2.22,-4.46,-0.002,37
0.20,0.56,1.64,4.51,-0.008,37
0.21,-0.20,1.34,0.82,0.013,37
0.22,-1.64,1.41,-3.63,0.003,37
0.23,2.00,0.88,1.04,-0.018,37
0.24,0.10,0.13,0.59,-0.008,37
0.25,-0.05,5.35,1.64,0.003,37
0.26,2.75,-2.07,-1.22,-0.023,37
0.27,-3.91,0.88,-0.47,0.019,37
0.28,2.91,-1.46,-0.62,-0.018,37
0.29,-2.70,1.94,4.66,0.024,37
0.30,1.24,-1.08,-2.43,-0.002,37
0.31,-1.18,-1.61,4.96,0.008,37
0.32,0.18,0.20,-4.54,0.008,37
0.33,0.63,2.02,-1.60,-0.008,37
0.34,0.48,1.72,2.25,0.003,37
0.35,-0.65,0.73,1.57,-0.002,37
0.36,0.94,-2.52,-0.62,-0.002,37
0.37,1.09,-2.37,2.25,0.003,37
0.38,-0.96,0.58,-0.62,0.008,37
0.39,0.79,2.24,1.27,-0.013,37
0.40,-2.47,2.40,1.34,0.019,37
0.41,0.94,-0.40,4.13,-0.008,37
0.42,0.63,2.47,-2.50,-0.018,37
0.43,0.48,0.81,-2.05,-0.002,37
0.44,2.68,3.61,3.38,-0.018,37
0.45,-1.26,-3.12,-1.75,-0.002,37
0.46,-1.56,1.26,2.32,0.008,37
0.47,-0.35,-1.61,-4.61,-0.008,37
0.48,0.48,-0.86,3.76,0.013,37
