Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Force,Pressure
0.00,-0.11,-1.50,2.11,-0.009,25
0.01,-0.79,0.46,0.67,0.012,25
0.02,0.11,0.92,-0.76,-0.004,25
0.03,0.87,-0.90,-0.16,-0.004,25
0.04,0.72,-0.37,-0.83,-0.009,25
0.05,-1.02,-1.05,-0.16,0.007,25
0.06,0.49,-1.65,-0.08,-0.014,25
0.07,-0.42,0.61,-1.29,-0.004,25
0.08,0.04,-0.14,-0.16,-0.004,25
0.09,0.95,-0.52,-0.23,-0.009,25
0.10,-0.79,0.54,-0.16,0.012,25
0.11,-0.72,-1.20,1.58,0.023,25
0.12,-0.04,-0.37,-0.68,0.002,25
0.13,-1.10,0.77,0.00,0.002,25
0.14,0.04,-1.05,-0.31,-0.004,25
0.15,0.72,-0.75,0.45,0.002,25
0.16,-1.55,0.24,0.82,0.012,25
0.17,-0.95,-2.03,-2.19,0.002,25
0.18,1.55,-1.96,-2.42,0.007,25
0.19,-0.04,-0.37,1.50,0.007,25
0.20,-0.57,-1.35,-0.16,0.007,25
0.21,1.85,-0.75,-3.10,-0.004,25
0.22,-0.49,2.20,2.11,-0.004,25
0.23,0.04,1.29,1.28,-0.004,25
0.24,-0.57,1.75,-4.83,-0.009,25
0.25,-2.38,4.02,1.05,-0.009,25
0.26,2.46,0.92,2.63,-0.014,25
0.27,-0.11,-0.75,-1.36,-0.004,25
0.28,-0.57,-1.50,-4.53,0.007,25
0.29,-0.49,-3.62,1.65,0.002,25
0.30,-0.57,-3.39,0.60,0.017,25
0.31,1.48,-1.65,-4.38,-0.014,25
0.32,-0.11,0.16,0.22,-0.009,25
0.33,0.34,0.92,0.00,-0.009,25
0.34,-0.11,0.99,-1.06,-0.014,25
0.35,-1.32,-0.90,1.13,0.007,25
0.36,1.70,0.16,0.82,-0.004,25
0.37,-0.19,1.14,1.28,-0.004,25
0.38,0.87,-1.28,-1.51,-0.004,25
0.39,-1.32,1.45,0.60,0.007,25
0.40,-1.10,-1.28,0.15,0.007,25
0.41,0.87,-0.67,-2.64,-0.009,25
0.42,-1.93,1.82,2.03,0.023,25
0.43,-0.19,-1.50,0.45,0.007,25
0.44,0.87,-2.41,-3.70,-0.004,25
0.45,-2.23,-0.22,1.58,0.017,25
0.46,-1.48,-1.12,2.79,0.017,25
0.47,-0.26,0.46,-0.83,0.007,25
0.48,0.26,1.29,1.88,-0.009,25
0.49,0.79,-0.60,2.26,-0.019,25
0.50,0.57,0.31,0.37,-0.004,25
0.51,-0.34,1.22,-0.76,0.002,25
0.52,-2.16,-1.20,0.60,0.012,25
0.53,-0.26,-0.60,2.79,0.002,25
0.54,-0.11,1.14,0.67,0.007,25
0.55,-0.64,-2.33,0.75,0.007,25
0.56,-0.95,-2.11,0.52,0.017,25
0.57,-2.01,-0.82,-0.08,0.017,25
0.58,-1.25,0.24,0.15,0.012,25
0.59,0.87,2.13,-0.38,-0.004,25
0.60,1.17,3.26,0.75,-0.024,25
0.61,-0.64,3.41,-1.14,-0.009,25
0.62,-0.72,-0.22,-0.91,-0.004,25
0.63,1.02,-0.60,1.88,-0.014,25
0.64,-1.55,-1.28,1.05,0.002,25
0.65,0.34,-2.18,0.30,0.007,25
0.66,1.93,-2.18,-0.76,-0.024,25
0.67,-3.29,-0.07,3.54,0.023,25
0.68,-0.19,-2.49,-1.81,0.002,25
0.69,2.16,-0.37,-4.76,-0.009,25
0.70,-2.84,1.52,5.12,0.017,25
0.71,1.70,-1.88,-1.06,-0.014,25
0.72,0.95,-0.75,-4.08,0.002,25
0.73,-3.07,1.90,5.27,0.007,25
0.74,0.34,-1.88,-0.08,-0.004,25
0.75,-0.26,1.22,-0.61,-0.004,25
0.76,-0.04,1.37,1.81,0.007,25
0.77,1.25,-0.60,-0.46,-0.014,25
0.78,0.72,0.99,-0.68,-0.004,25
0.79,0.19,-0.29,-0.99,-0.009,25
0.80,-0.57,-1.05,0.00,0.007,25
0.81,0.57,0.01,-1.51,-0.014,25
0.82,0.34,0.84,-0.53,0.002,25
0.83,1.32,-1.12,-0.91,-0.009,25
0.84,-0.04,-0.97,-0.31,0.002,25
0.85,-0.26,0.16,1.20,-0.004,25
0.86,0.11,-2.11,-2.19,-0.004,25
0.87,0.79,-0.52,3.62,-0.009,25
0.88,-0.26,1.07,-0.76,0.012,25
0.89,-0.19,2.05,-3.93,-0.004,25
