Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Force,Pressure
0.00,-0.30,-1.54,0.00,0.011,26
0.01,-0.30,-0.56,1.58,0.011,26
0.02,-0.30,0.73,-0.76,-0.011,26
0.03,-0.08,-1.16,-0.23,0.000,26
0.04,0.07,0.27,0.00,-0.011,26
0.05,0.00,1.26,-2.12,0.000,26
0.06,0.36,-0.48,-0.76,0.000,26
0.07,0.59,-0.26,-0.16,0.000,26
0.08,-0.23,-0.18,-1.36,0.000,26
0.09,-0.15,-1.47,-0.53,0.000,26
0.10,-0.15,0.05,-0.91,-0.011,26
0.11,-0.74,-0.56,-1.29,-0.005,26
0.12,-0.89,-0.86,-1.96,0.011,26
0.13,-0.59,1.03,-1.59,0.011,26
0.14,-0.89,-0.03,-0.91,-0.005,26
0.15,-0.59,-1.09,-0.31,0.000,26
0.16,0.22,0.05,-0.16,0.011,26
0.17,0.14,-0.71,0.07,-0.005,26
0.18,0.29,-0.41,-0.68,0.000,26
0.19,0.36,0.27,-1.74,-0.005,26
0.20,0.00,-1.47,0.30,0.011,26
0.21,-0.37,-0.63,0.45,-0.011,26
0.22,-0.08,1.56,-0.31,0.011,26
0.23,-0.30,-0.03,-0.53,0.000,26
0.24,-0.52,-2.07,0.00,0.000,26
0.25,0.22,0.73,0.22,0.000,26
0.26,0.51,2.32,-1.14,-0.005,26
0.27,-0.15,-0.26,-0.23,-0.005,26
0.28,-0.08,-1.54,-0.16,0.006,26
0.29,0.44,0.05,-0.83,-0.005,26
0.30,0.07,0.43,-0.46,0.000,26
0.31,-0.23,-1.16,0.45,0.000,26
0.32,-0.37,0.20,-0.76,0.000,26
0.33,-0.30,0.73,-0.53,0.000,26
0.34,-0.15,-0.18,-0.61,-0.011,26
0.35,-0.37,-0.48,-1.06,0.000,26
0.36,0.44,0.27,-1.14,-0.016,26
0.37,1.10,0.12,0.22,0.006,26
0.38,0.14,-0.79,-1.74,0.011,26
0.39,-0.08,0.27,-0.23,0.000,26
0.40,0.00,0.80,-0.38,0.000,26
0.41,0.22,0.88,-0.31,0.006,26
0.42,-0.30,0.12,0.67,0.006,26
0.43,0.07,-0.26,0.07,-0.016,26
0.44,0.66,1.33,0.82,-0.022,26
0.45,-0.23,0.88,-0.38,0.000,26
0.46,-0.23,0.43,-0.08,-0.022,26
0.47,0.22,0.43,0.75,-0.011,26
0.48,0.22,0.43,0.00,-0.005,26
0.49,0.29,0.12,-0.08,-0.005,26
0.50,0.36,-0.10,0.22,0.011,26
0.51,0.07,0.88,-1.06,-0.011,26
0.52,-0.08,0.43,0.00,0.000,26
0.53,0.14,0.35,0.07,0.000,26
0.54,0.36,0.96,-0.16,0.006,26
0.55,-0.15,0.43,0.22,-0.005,26
0.56,0.07,0.12,0.37,0.006,26
0.57,0.22,0.58,0.60,0.000,26
0.58,0.29,0.20,0.37,0.000,26
0.59,1.03,0.27,1.28,-0.011,26
0.60,1.18,0.43,0.52,-0.016,26
0.61,0.81,-0.03,-0.23,-0.016,26
0.62,0.36,0.05,0.00,0.000,26
0.63,0.36,0.27,0.22,-0.011,26
0.64,0.29,0.58,0.15,0.006,26
0.65,0.14,0.27,0.22,0.006,26
0.66,0.14,0.35,0.67,0.000,26
0.67,0.51,0.73,0.82,-0.005,26
0.68,0.59,0.58,0.37,0.000,26
0.69,0.95,-0.10,0.67,-0.011,26
0.70,0.95,-0.10,0.15,0.000,26
0.71,0.59,0.05,-0.23,-0.005,26
0.72,0.44,0.12,-0.38,-0.011,26
0.73,0.51,0.73,-0.31,-0.005,26
0.74,0.14,0.50,-0.68,-0.011,26
0.75,0.36,0.50,0.00,0.000,26
0.76,0.22,-0.03,-0.38,-0.005,26
0.77,-0.23,0.27,-0.08,-0.005,26
0.78,0.00,1.26,-0.68,0.000,26
0.79,0.73,0.27,-0.53,0.006,26
0.80,-0.30,-1.54,-1.29,0.006,26
0.81,-0.89,-1.77,0.22,-0.005,26
0.82,-0.37,1.03,-0.83,0.017,26
0.83,-0.89,2.02,-0.76,-0.005,26
0.84,-0.67,-0.33,0.67,0.017,26
0.85,1.18,-0.79,0.15,-0.016,26
0.86,2.13,-1.54,0.22,-0.016,26
0.87,2.72,-1.01,0.07,-0.033,26
0.88,3.68,1.18,0.45,-0.016,26
0.89,1.32,0.73,-4.15,-0.005,26
0.90,-0.45,-2.45,0.60,-0.005,26
0.91,-1.92,-0.26,-1.21,0.006,26
0.92,-2.51,2.02,-3.17,0.022,26
0.93,-3.47,-0.79,-0.46,0.022,26
0.94,-2.44,-0.41,0.37,0.000,26
0.95,-1.33,1.79,-1.14,-0.005,26
0.96,-0.23,-0.94,-0.38,0.011,26
0.97,1.47,-0.71,-0.46,-0.011,26
0.98,2.36,0.27,-0.46,-0.022,26
0.99,2.28,-1.69,-0.16,-0.027,26
1.00,1.54,0.20,0.22,-0.011,26
1.01,1.18,0.05,-0.31,-0.011,26
1.02,-0.15,-0.63,0.67,0.011,26
1.03,-0.23,1.79,0.67,0.022,26
1.04,-0.89,0.73,0.75,0.006,26
1.05,-0.82,0.05,0.60,0.000,26
1.06,-0.15,0.12,1.20,0.006,26
1.07,0.44,-0.48,0.15,-0.005,26
1.08,1.03,-0.18,-0.76,-0.005,26
1.09,1.18,-0.33,0.45,-0.016,26
1.10,1.18,0.35,0.45,-0.011,26
1.11,0.88,0.65,-0.23,0.000,26
1.12,-0.30,0.73,0.30,0.000,26
1.13,-0.74,0.65,1.58,-0.005,26
1.14,-1.11,1.26,1.20,0.006,26
1.15,-1.11,1.49,0.45,0.006,26
1.16,-0.15,0.65,0.67,-0.005,26
1.17,0.36,-1.09,0.22,0.006,26
1.18,-1.11,-0.48,-0.38,0.000,26
1.19,0.29,0.88,0.45,-0.011,26
1.20,1.10,1.94,1.20,-0.022,26
1.21,0.14,0.88,0.90,0.006,26
1.22,1.03,-0.79,1.28,-0.016,26
1.23,1.84,-0.56,0.82,-0.016,26
1.24,0.29,-0.41,0.67,0.017,26
1.25,-0.23,1.64,0.22,0.006,26
1.26,0.95,2.85,-0.61,-0.005,26
1.27,0.00,-0.33,0.00,0.000,26
1.28,-0.30,-1.24,0.07,0.006,26
1.29,0.59,2.02,-0.68,-0.005,26
1.30,0.14,-0.86,1.58,-0.005,26
1.31,-1.18,-1.77,0.82,0.017,26
1.32,-0.74,1.18,-2.12,0.000,26
1.33,-0.59,1.11,0.22,0.000,26
1.34,0.00,1.86,-0.08,-0.011,26
1.35,0.00,1.86,0.07,0.000,26
1.36,0.36,-1.32,1.73,-0.005,26
1.37,1.54,0.27,0.37,-0.005,26
1.38,0.88,0.43,0.07,0.000,26
1.39,0.07,-0.48,-0.08,-0.005,26
1.40,0.73,0.73,0.67,-0.016,26
1.41,-0.52,0.58,-0.91,0.000,26
1.42,-0.74,-1.47,0.22,0.006,26
1.43,-0.15,-0.86,0.22,-0.005,26
1.44,0.14,1.86,-2.49,-0.011,26
1.45,0.14,0.50,-1.89,-0.011,26
1.46,-0.37,-1.77,-1.21,-0.011,26
1.47,0.29,0.58,-0.91,0.000,26
