"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration","Force"
0.00,0.50,-2.40,1.93,-0.002
0.01,-1.02,-1.41,-5.01,0.009
0.02,-2.23,2.52,5.18,0.009
0.03,1.10,1.01,-3.27,0.004
0.04,0.19,-6.40,1.10,0.014
0.05,0.27,4.49,3.44,-0.012
0.06,-0.26,2.67,0.58,0.014
0.07,-1.24,-0.66,-5.99,-0.007
0.08,-1.85,-4.14,0.20,0.004
0.09,-0.49,2.97,3.06,-0.002
0.10,2.16,-3.38,0.27,-0.002
0.11,-0.71,0.10,0.20,0.004
0.12,-1.09,0.10,3.06,0.014
0.13,0.12,-1.11,-2.44,-0.007
0.14,-1.17,-0.88,-2.89,0.009
0.15,-0.56,0.17,-1.16,-0.007
0.16,1.25,0.55,3.52,-0.002
0.17,0.19,-1.41,-2.06,-0.007
0.18,0.95,0.02,1.93,0.004
0.19,-1.17,0.63,0.20,0.009
0.20,-0.87,-2.17,-1.69,0.009
0.21,-0.64,1.38,1.25,0.004
0.22,2.69,-0.43,-1.39,-0.007
0.23,-0.49,1.76,-1.61,-0.002
0.24,-0.41,-0.43,-0.18,0.009
0.25,-0.18,-0.51,1.33,-0.007
0.26,0.04,-0.20,-4.55,-0.007
0.27,-0.87,-2.32,4.87,0.009
0.28,0.57,2.59,-2.14,-0.007
0.29,0.57,-1.79,-0.25,-0.002
0.30,-0.18,1.08,-0.86,-0.002
0.31,-1.24,2.59,3.29,0.004
0.32,-0.79,-2.93,-1.31,0.004
0.33,-1.09,-1.49,-1.08,-0.002
0.34,0.12,2.37,-3.35,0.009
0.35,0.04,0.48,-0.71,-0.002
0.36,0.12,4.64,-0.56,-0.002
0.37,0.95,-3.53,-1.61,-0.002
0.38,-1.47,-1.41,0.73,0.014
0.39,0.57,2.82,-0.33,0.004
0.40,-0.71,-2.70,-2.29,-0.002
0.41,0.04,-1.56,1.03,-0.002
0.42,-0.71,2.22,0.35,0.009
0.43,0.80,-1.41,-2.29,-0.007
0.44,-0.71,-2.02,-0.63,0.009
0.45,0.50,2.97,4.95,-0.002
0.46,0.65,-1.94,-2.44,-0.002
0.47,-0.64,-1.87,-1.76,-0.002
0.48,-0.87,2.22,3.89,-0.002
0.49,-0.56,-2.17,-0.78,-0.012
0.50,-1.17,-1.11,-3.12,-0.002
0.51,0.88,2.52,1.10,-0.007
0.52,0.57,-1.26,0.35,-0.002
0.53,0.42,-2.02,-0.71,0.004
0.54,-0.87,0.86,0.73,-0.002
0.55,-1.47,-1.87,-0.78,0.014
0.56,-1.09,-0.13,0.20,-0.007
0.57,-0.34,-2.40,-0.33,0.004
0.58,-0.18,1.91,1.78,0.004
0.59,0.57,3.43,0.05,0.004
0.60,-0.64,0.10,-3.27,0.004
0.61,-0.94,-3.15,-1.91,0.009
0.62,-1.85,1.84,0.50,0.024
0.63,-2.15,-0.35,-4.93,0.019
0.64,-0.49,1.84,3.89,0.004
0.65,-0.56,-0.96,-1.84,0.009
0.66,0.50,-0.73,2.84,0.009
0.67,-0.11,-2.32,-4.40,0.009
0.68,-1.32,-2.40,2.84,0.009
0.69,-1.62,4.41,-2.14,0.014
0.70,0.12,-6.78,-1.54,-0.012
0.71,-0.79,1.31,2.16,-0.002
0.72,-0.49,-3.68,-1.61,-0.002
0.73,-1.17,-1.56,2.01,-0.007
0.74,-0.87,1.61,-1.31,-0.007
0.75,-0.71,-1.34,0.65,0.009
0.76,0.19,2.07,-1.39,-0.017
0.77,0.04,-3.98,-1.99,0.014
0.78,0.35,-0.28,0.58,0.004
0.79,-1.02,0.78,2.23,-0.002
0.80,-0.94,-1.04,-4.85,-0.002
0.81,-0.79,-1.41,2.38,0.014
0.82,0.04,-0.51,0.05,0.009
0.83,-0.79,-0.43,0.58,-0.002
0.84,-0.71,-0.13,-2.74,0.009
0.85,-1.17,-1.56,1.78,0.009
0.86,-0.49,-0.35,-0.33,0.009
0.87,-1.24,-0.96,-1.46,0.014
0.88,-0.18,1.91,-0.48,-0.002
0.89,-0.34,-1.04,-0.93,0.004
0.90,-0.49,-3.91,-1.99,-0.002
0.91,0.50,-0.51,0.50,-0.012
0.92,-0.34,0.55,-0.18,0.004
0.93,-0.56,-0.88,-0.18,0.014
0.94,-0.26,2.44,0.80,0.004
0.95,0.04,-2.62,-2.06,0.014
0.96,-0.34,-3.76,-3.87,0.004
0.97,-1.47,0.55,3.74,0.014
0.98,-0.56,1.08,0.35,-0.002
0.99,-1.40,-2.55,-2.29,-0.002
1.00,-2.08,-0.96,2.84,0.009
1.01,-0.71,-2.62,-2.06,-0.002
1.02,-0.71,-0.81,-0.18,-0.002
1.03,-0.64,-0.51,-0.10,0.004
1.04,-0.64,1.38,0.20,0.004
1.05,0.95,-2.02,-1.16,-0.012
1.06,-0.56,-2.02,1.40,0.014
1.07,-2.08,-1.87,0.73,0.009
1.08,0.72,-3.00,-3.65,0.004
1.09,-1.40,2.14,7.06,0.004
1.10,0.27,-0.43,-4.25,-0.002
1.11,0.04,-3.91,-0.93,0.004
1.12,-0.41,0.93,-0.78,0.004
1.13,-0.87,-2.24,-0.63,0.004
1.14,-0.87,0.70,1.03,-0.007
1.15,-0.49,-3.23,-3.35,0.004
1.16,-3.29,-2.02,5.78,0.019
1.17,-0.87,-0.81,-2.89,0.009
1.18,-1.09,-3.83,-0.93,0.009
1.19,-0.11,3.12,-0.86,-0.012
1.20,0.65,-3.98,-1.16,0.009
1.21,-1.55,-1.56,1.18,0.004
1.22,-1.40,0.55,-0.86,0.019
1.23,-1.62,-5.27,0.58,0.004
1.24,-1.40,1.76,0.27,0.019
1.25,-0.87,-0.81,-2.22,0.019
1.26,-1.93,-4.14,-1.31,0.019
1.27,-1.85,-2.47,3.97,0.014
1.28,-2.68,-0.05,-0.18,0.030
1.29,-1.09,-2.77,1.10,0.019
1.30,-0.03,0.10,-0.03,-0.002
1.31,1.63,-2.55,-4.85,-0.012
1.32,-0.41,-0.20,3.89,0.004
1.33,-0.56,2.29,-3.04,0.014
1.34,-1.17,-3.83,-2.29,0.009
1.35,-2.91,2.37,6.99,0.024
1.36,0.80,0.93,-4.25,-0.002
1.37,0.80,-5.72,-4.93,-0.017
1.38,-1.40,-0.05,7.36,-0.002
1.39,-0.71,4.11,-4.40,0.009
1.40,-1.47,-7.16,-3.12,0.004
1.41,-3.06,-0.66,2.23,0.019
1.42,-2.00,-0.43,-3.87,0.024
1.43,-1.93,1.76,4.27,0.009
1.44,-0.56,0.17,-5.99,0.019
1.45,0.80,-4.29,0.05,0.004
1.46,-1.02,3.65,0.05,0.014
1.47,-1.32,-5.80,0.80,-0.002
1.48,-0.71,-0.05,-0.41,0.014
1.49,-1.17,1.08,0.12,0.019
1.50,0.04,-2.09,-0.71,-0.023
1.51,-1.17,-1.19,-0.10,0.009
1.52,-0.71,-1.04,-1.76,0.009
1.53,-1.24,-1.04,0.95,-0.002
1.54,-3.14,-1.41,-3.80,0.014
1.55,-3.52,3.20,6.16,0.014
1.56,-1.55,0.78,-6.29,0.014
1.57,-1.47,-5.65,1.33,0.019
1.58,0.04,3.73,-2.44,0.009
1.59,1.56,-3.53,-1.39,-0.002
1.60,1.25,2.37,-0.25,-0.023
1.61,-2.15,-4.74,-0.86,0.009
1.62,-1.02,-1.41,-3.12,0.009
1.63,-0.79,2.07,2.01,0.009
1.64,1.56,-1.34,-3.35,-0.007
1.65,-0.11,0.02,3.21,0.009
1.66,0.27,1.01,-2.52,0.004
1.67,1.56,-2.85,-2.89,-0.007
1.68,-1.40,-0.58,2.84,0.014
1.69,-0.87,-1.49,-2.29,0.024
1.70,-0.34,-0.13,0.65,0.004
1.71,-0.94,1.46,-1.46,0.009
1.72,-1.77,-2.02,-0.03,0.014
1.73,-2.00,-0.35,0.65,0.019
1.74,-0.18,-1.79,-0.48,-0.002
1.75,-0.49,-0.43,-1.46,0.004
1.76,-0.71,-1.19,2.08,0.019
1.77,0.04,1.16,0.73,-0.002
1.78,-0.18,-1.72,-5.53,0.014
1.79,-1.62,1.84,6.16,0.004
1.80,-2.83,-1.79,-4.63,0.014
1.81,-2.30,-4.21,-0.93,0.004
1.82,-1.17,2.37,5.93,0.030
1.83,-0.49,0.93,-3.87,0.004
1.84,-2.61,-3.53,-0.18,0.019
1.85,-0.18,1.54,-1.08,0.004
1.86,0.50,-2.32,1.56,-0.007
1.87,-0.87,-1.79,-3.65,0.009
1.88,-0.94,1.31,4.65,0.019
1.89,0.19,-0.51,-1.76,0.009
1.90,-2.99,-5.50,1.56,0.019
1.91,-0.56,3.80,2.46,0.014
1.92,-0.49,0.33,-4.40,0.014
1.93,-1.32,-2.17,2.31,0.030
1.94,-0.26,3.05,0.27,0.019
1.95,-0.03,-3.30,-2.52,-0.007
1.96,-0.56,-1.11,0.20,0.009
1.97,-0.87,3.28,-0.48,-0.007
1.98,-0.64,0.63,-1.23,0.009
1.99,-2.61,-2.77,1.25,0.030
2.00,-0.71,-0.73,0.88,-0.007
2.01,-0.71,-0.66,-2.52,0.009
2.02,-1.32,2.07,3.44,0.009
2.03,0.35,0.55,-5.23,-0.002
2.04,-0.41,-5.35,1.56,-0.002
2.05,0.65,5.47,3.21,-0.012
2.06,2.01,-1.49,-4.48,0.004
2.07,-1.02,-2.85,1.63,0.009
2.08,-0.41,4.03,-4.93,0.009
2.09,-2.91,-4.51,-0.33,0.024
2.10,-0.03,4.64,3.52,0.014
2.11,1.10,1.84,-6.97,0.019
2.12,-1.93,-2.32,7.36,-0.007
2.13,-1.24,0.70,-6.14,0.014
2.14,-0.64,-5.12,-0.41,-0.002
2.15,-3.52,4.71,4.72,0.014
2.16,0.80,2.97,-1.16,-0.007
2.17,-1.09,-0.51,-3.65,0.024
2.18,-1.77,-0.43,4.80,0.024
2.19,-1.40,1.54,0.58,0.014
2.20,0.42,-2.17,-3.20,0.014
2.21,1.56,3.58,5.40,-0.007
2.22,-1.09,3.35,-6.36,0.019
2.23,-2.15,-2.09,-1.61,-0.002
2.24,-2.30,0.10,4.04,0.024
2.25,0.35,-0.73,1.10,-0.002
2.26,-2.08,-0.51,-0.41,0.014
2.27,-3.14,-5.12,-0.33,0.024
2.28,-1.77,5.62,5.48,0.019
2.29,-0.49,2.52,-6.89,0.009
2.30,1.71,-11.62,1.56,-0.017
2.31,-1.47,2.75,1.71,-0.002
