"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration","Force"
0.00,-2.14,0.07,-0.04,0.023
0.01,0.36,-0.92,0.18,0.001
0.02,1.40,-1.67,0.41,0.001
0.03,2.65,2.56,-0.72,-0.010
0.04,2.72,1.35,1.16,-0.015
0.05,0.88,-2.66,-0.19,-0.005
0.06,0.81,1.43,1.24,-0.005
0.07,1.03,2.03,-0.49,-0.005
0.08,0.95,-0.84,1.92,-0.015
0.09,0.51,-1.15,2.14,0.012
0.10,-1.18,-1.52,-0.12,0.006
0.11,-0.37,0.75,0.33,0.001
0.12,-0.52,2.11,-1.63,0.001
0.13,-1.26,-0.39,-1.85,0.001
0.14,0.88,0.37,-0.04,-0.010
0.15,2.95,1.81,-1.17,-0.026
0.16,1.84,0.14,-0.87,-0.021
0.17,0.51,-2.28,0.94,0.001
0.18,0.14,0.22,0.86,0.012
0.19,-0.59,-0.09,0.03,0.012
0.20,-1.33,-0.77,-0.57,0.012
0.21,-1.18,1.58,0.11,0.012
0.22,-0.08,-0.09,0.64,0.006
0.23,0.00,-1.52,0.64,0.006
0.24,0.36,1.73,-0.57,0.001
0.25,2.13,1.05,-0.49,-0.010
0.26,1.40,-3.04,-0.12,-0.005
0.27,0.00,-0.69,-1.93,0.001
0.28,1.18,1.81,-1.70,-0.010
0.29,0.95,0.75,0.49,0.001
0.30,0.00,-1.37,-0.04,0.006
0.31,0.29,-0.84,0.79,0.006
0.32,0.95,0.44,-0.65,-0.015
0.33,0.29,1.28,-0.42,0.006
0.34,-0.23,-0.69,-0.19,-0.015
0.35,0.59,-0.92,0.03,0.001
0.36,1.03,-0.09,-0.72,-0.005
0.37,1.25,-0.77,0.41,0.006
0.38,2.06,0.97,0.56,0.001
0.39,1.32,1.28,-1.32,-0.015
0.40,-0.45,-0.54,-0.34,0.012
0.41,-0.23,0.44,-0.87,-0.005
0.42,0.44,1.43,0.56,-0.010
0.43,0.66,-0.92,0.79,0.001
0.44,1.47,-1.30,0.41,0.001
0.45,1.62,0.67,0.86,-0.021
0.46,0.44,-0.54,0.94,-0.005
0.47,-0.74,-0.01,0.64,0.001
0.48,-0.45,1.58,-0.65,0.001
0.49,0.07,-0.77,1.24,-0.010
0.50,0.51,-0.01,0.49,-0.010
0.51,1.03,0.97,-0.19,-0.005
0.52,0.14,0.52,0.33,0.006
0.53,0.95,0.22,0.33,-0.005
0.54,0.66,1.05,-0.65,-0.010
0.55,0.95,1.50,0.41,0.001
0.56,0.44,-0.54,1.99,0.017
0.57,-0.08,-1.07,0.71,0.001
0.58,-0.67,-0.46,0.86,0.012
0.59,-0.59,0.22,1.99,0.012
0.60,0.00,1.58,0.26,-0.005
0.61,0.44,0.67,-0.49,0.012
0.62,0.73,-1.60,0.33,-0.005
0.63,1.47,0.14,-0.04,-0.015
0.64,1.10,1.66,-2.23,-0.005
0.65,0.51,-0.24,-1.02,-0.010
0.66,0.07,0.22,-0.49,0.006
0.67,-0.37,0.52,-1.02,0.006
0.68,-1.04,-1.07,-0.27,0.006
0.69,-0.89,0.37,-0.42,0.012
0.70,-0.37,0.44,0.11,0.017
0.71,-0.23,-0.39,0.49,-0.005
0.72,0.29,1.05,-0.87,-0.010
0.73,0.88,0.75,0.03,0.001
0.74,1.62,-1.07,0.11,-0.015
0.75,1.10,-0.99,-0.49,0.006
0.76,0.81,-0.24,-0.65,0.012
0.77,0.95,1.28,0.11,0.012
0.78,0.00,0.60,-0.65,0.001
0.79,-0.23,-1.22,0.26,-0.005
0.80,1.10,0.90,0.49,-0.005
0.81,0.44,2.26,-1.10,-0.005
0.82,-0.74,-0.84,-0.04,-0.010
0.83,-0.74,-1.75,1.16,0.012
0.84,0.36,0.52,-0.19,0.001
0.85,1.54,-0.92,-0.04,-0.010
0.86,1.99,-0.84,1.16,-0.010
0.87,2.28,0.44,0.79,-0.010
0.88,0.73,-0.31,-1.25,-0.010
0.89,0.59,-0.31,-0.04,0.006
0.90,1.10,0.75,1.09,-0.010
0.91,0.22,-0.01,-0.65,0.012
0.92,0.07,-0.09,-0.12,0.006
0.93,-0.37,0.52,0.18,0.001
0.94,-0.23,0.37,-0.12,0.001
0.95,0.00,-0.54,0.71,-0.010
0.96,0.59,-0.92,1.31,0.001
0.97,1.32,-0.09,0.26,0.001
0.98,1.62,-0.24,-0.49,-0.005
0.99,1.40,-1.15,-0.12,0.001
1.00,1.03,-0.16,0.86,-0.015
1.01,1.10,2.49,-0.42,-0.005
1.02,0.73,1.66,-1.02,0.001
1.03,-0.23,-1.07,-0.49,0.001
1.04,-0.30,-0.46,-0.27,0.001
1.05,-0.30,0.82,-0.19,-0.010
1.06,-0.82,-0.39,0.71,0.006
1.07,-0.37,-0.24,-0.34,-0.005
1.08,0.88,0.52,0.18,0.006
1.09,0.51,0.67,-0.42,0.012
1.10,0.88,-0.39,0.71,0.001
1.11,0.66,-0.84,0.18,-0.010
1.12,0.59,-0.01,0.64,-0.010
1.13,0.44,0.60,0.18,-0.005
1.14,0.14,0.75,-0.80,-0.010
1.15,0.44,0.60,-0.80,-0.005
1.16,-0.37,-0.69,0.26,0.006
1.17,0.14,-0.39,0.03,0.001
1.18,0.51,0.82,-0.34,-0.005
1.19,0.22,-0.16,-0.80,-0.010
1.20,0.44,-1.22,-1.10,0.001
1.21,1.10,-0.31,1.16,-0.010
1.22,1.10,1.13,-0.95,-0.010
1.23,-0.15,0.14,-0.72,0.012
1.24,-1.04,0.22,-0.12,0.012
1.25,-0.52,0.90,-0.19,0.012
1.26,0.07,-0.01,-0.57,-0.010
1.27,0.51,-0.01,0.03,-0.005
1.28,1.54,-0.24,-0.57,-0.010
1.29,1.54,-0.24,-1.17,0.006
1.30,0.44,0.37,-1.17,-0.005
1.31,0.22,-0.39,-1.02,0.006
1.32,-0.96,-0.77,-0.04,0.001
1.33,-2.00,1.05,0.71,0.006
1.34,-0.52,0.67,-0.34,0.006
1.35,0.59,-1.22,-0.34,-0.010
1.36,1.54,-0.24,-0.49,-0.010
1.37,1.25,1.05,-0.34,-0.005
1.38,0.88,0.97,-1.17,0.001
1.39,0.81,-0.99,1.54,-0.015
1.40,-0.08,-0.62,0.18,0.006
1.41,0.36,1.20,0.79,-0.005
1.42,2.06,1.96,0.79,-0.021
1.43,1.99,0.90,1.24,-0.010
1.44,1.10,-0.99,3.12,0.001
1.45,0.95,-1.30,1.39,0.006
1.46,0.59,1.28,-0.12,-0.010
1.47,0.95,1.73,-0.12,-0.010
1.48,0.44,-0.69,-0.72,0.001
1.49,0.00,-0.92,1.54,0.001
1.50,0.73,0.07,0.49,-0.015
1.51,0.73,0.29,-0.72,0.001
1.52,0.81,0.52,0.71,0.006
1.53,0.88,-0.31,1.84,0.006
